Date,Name,Year,Letterboxd URI,Rating
2022-08-25,Gangster Squad,2013,https://boxd.it/2TVa,2
2022-08-25,"Batman: The Dark Knight Returns, Part 2",2013,https://boxd.it/4xzg,3.5
2022-08-26,In the Mood for Love,2000,https://boxd.it/29tE,3.5
2022-08-30,Castello Cavalcanti,2013,https://boxd.it/6WlM,3
2022-08-31,The Innocents,2021,https://boxd.it/oAlc,3.5
2022-08-31,Devilman Crybaby,2018,https://boxd.it/muwa,5
2022-09-05,Devilman - Volume 1: The Birth,1987,https://boxd.it/bV2,3
2022-09-06,One Fine Morning,2022,https://boxd.it/s4Ta,4.5
2022-09-06,My Neighbor Totoro,1988,https://boxd.it/20eA,5
2022-09-06,Kiki's Delivery Service,1989,https://boxd.it/1JAY,4.5
2022-09-06,Midnight in Paris,2011,https://boxd.it/i4a,4.5
2022-09-06,The Sorcerer's Apprentice,2010,https://boxd.it/1sGg,1.5
2022-09-06,Shutter Island,2010,https://boxd.it/1U82,3.5
2022-09-06,Memories of Murder,2003,https://boxd.it/1TSo,5
2022-09-06,Tremors,1990,https://boxd.it/1YSe,4
2022-09-07,mid90s,2018,https://boxd.it/fxIa,4.5
2022-09-07,The Great Dictator,1940,https://boxd.it/29ic,4.5
2022-09-14,The Conformist,1970,https://boxd.it/20cE,4
2022-09-14,Primer,2004,https://boxd.it/6YA,3
2022-09-14,Thor: Love and Thunder,2022,https://boxd.it/mMAY,4
2022-09-15,The Intouchables,2011,https://boxd.it/2FT0,5
2022-09-15,A Short Film About Love,1988,https://boxd.it/1jXC,4.5
2022-09-17,El Topo,1970,https://boxd.it/1QYS,4
2022-09-17,Good Time,2017,https://boxd.it/fcFu,4
2022-09-17,Moon,2009,https://boxd.it/1IGQ,4
2022-09-17,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2022-09-18,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,5
2022-09-19,Mother,2009,https://boxd.it/1m9g,4.5
2022-09-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2022-09-25,In Bruges,2008,https://boxd.it/20n8,4
2022-09-25,Uncharted,2022,https://boxd.it/b5Dy,1.5
2022-09-26,The Return of the Living Dead,1985,https://boxd.it/1V3W,4
2022-09-26,Mars Attacks!,1996,https://boxd.it/2bd4,3
