Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-10-16,Seven Beauties,1975,https://boxd.it/50gu1Z,4.5,,cinemateketoslo,2023-10-15
2023-10-18,The Batman,2022,https://boxd.it/50S9tJ,4.5,Yes,,2023-10-17
2023-10-19,The Abyss,1989,https://boxd.it/51b2qr,4,,"cinemateketoslo, 70mm",2023-10-18
2023-10-23,Mary Shelley's Frankenstein,1994,https://boxd.it/52sMDz,2,,,2023-10-22
2023-10-25,The Graduate,1967,https://boxd.it/535LFx,4.5,,,2023-10-24
2023-10-26,Killers of the Flower Moon,2023,https://boxd.it/53pupR,4.5,,vegaoslo,2023-10-25
2023-10-28,The Cowboy and the Frenchman,1988,https://boxd.it/53YE8h,,,,2023-10-27
2023-10-28,Shrek,2001,https://boxd.it/5445yB,4.5,Yes,norskdub,2023-10-27
2023-10-28,Shrek 2,2004,https://boxd.it/544XAV,4,Yes,norskdub,2023-10-27
2023-10-29,The Fall of the House of Usher,2023,https://boxd.it/54DB4j,,,,2023-10-28
2023-10-30,Bram Stoker's Dracula,1992,https://boxd.it/54ITUR,5,Yes,,2023-10-29
2023-10-30,Blood Lines: Dracula - The Man. The Myth. The Movies.,1992,https://boxd.it/54L1RP,,,,2023-10-29
2023-11-01,South Park: Joining the Panderverse,2023,https://boxd.it/55xeCp,,,,2023-10-31
2023-11-01,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/55ygvR,3,,,2023-10-31
2023-11-03,The Village,2004,https://boxd.it/56fg7r,4.5,,,2023-11-02
2023-11-06,Apocalypse Now,1979,https://boxd.it/57eOOV,5,,,2023-11-05
2023-11-06,The Tragedy of Macbeth,2021,https://boxd.it/57k2rr,2,,,2023-11-05
2023-11-07,Yuki's Sun,1972,https://boxd.it/57CfhF,,,,2023-11-06
2023-11-07,Alps,2011,https://boxd.it/57GstR,3.5,,,2023-11-06
2023-11-08,Paths of Glory,1957,https://boxd.it/57Xp15,4.5,,,2023-11-07
2023-11-08,Cave of Forgotten Dreams,2010,https://boxd.it/57ZTzP,,,,2023-11-07
2023-11-12,The Boy and the Heron,2023,https://boxd.it/5965MR,4.5,,"colosseum, filmfrasør, ellinor",2023-11-11
2023-11-12,The Killer,2023,https://boxd.it/59aYvJ,2.5,,,2023-11-12
2023-11-14,Cure,1997,https://boxd.it/59RbwT,4.5,,,2023-11-13
2023-11-15,Signs,2002,https://boxd.it/5a6Gvx,4,,,2023-11-14
2023-11-17,The Creator,2023,https://boxd.it/5aIsDD,2.5,,,2023-11-16
2023-11-18,Rain Man,1988,https://boxd.it/5b0lrr,3,,,2023-11-17
2023-11-19,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/5bkSWR,4.5,Yes,,2023-11-18
2023-11-20,THX 1138,1971,https://boxd.it/5bDp6l,4,,,2023-11-19
2023-11-20,The Alpinist,2021,https://boxd.it/5bEVHl,,,,2023-11-19
2023-11-20,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/5bHsjP,2.5,,,2023-11-19
2023-11-23,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/5cDnAd,3.5,Yes,bluray,2023-11-21
2023-11-26,Home Alone 3,1997,https://boxd.it/5dClWj,4,Yes,,2023-11-25
2023-11-26,Doctor Who: The Star Beast,2023,https://boxd.it/5dDe7l,0.5,,,2023-11-25
2023-11-27,A Haunting in Venice,2023,https://boxd.it/5e4Bwd,1,,,2023-11-26
2023-11-28,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/5ezWkJ,5,Yes,bluray,2023-11-27
2023-11-29,Interstellar,2014,https://boxd.it/5eS3nh,4.5,Yes,"70mm, cinemateketoslo",2023-11-28
2023-12-02,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/5fL2aB,5,Yes,norskdub,2023-12-01
2023-12-02,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/5fL2UT,5,Yes,norskdub,2023-12-01
2023-12-03,Tales from Earthsea,2006,https://boxd.it/5g2BFX,2,,,2023-12-02
2023-12-03,The Lord of the Rings: The Two Towers,2002,https://boxd.it/5g4nkF,5,Yes,extended edition,2023-12-02
2023-12-04,Godzilla Minus One,2023,https://boxd.it/5gqjzP,5,,cinemateketoslo,2023-12-03
2023-12-05,The Lord of the Rings: The Return of the King,2003,https://boxd.it/5gPOxl,5,Yes,extended edition,2023-12-04
2023-12-10,Leave the World Behind,2023,https://boxd.it/5ikhzf,1.5,,,2023-12-09
2023-12-10,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/5iqJ3X,4,Yes,,2023-12-09
2023-12-11,Fanny and Alexander,1982,https://boxd.it/5iT4k7,4.5,,"35mm, cinemateketoslo",2023-12-10
2023-12-12,Persona,1966,https://boxd.it/5jbTZB,5,,,2023-12-11
2023-12-14,Europa,1991,https://boxd.it/5jS6Dn,3,,,2023-12-13
2023-12-14,The Wailing,2016,https://boxd.it/5jUcIR,4,,,2023-12-13
2023-12-18,Strange Way of Life,2023,https://boxd.it/5lcYZr,,,,2023-12-17
2023-12-18,Triangle of Sadness,2022,https://boxd.it/5lfCz3,2,,,2023-12-17
2023-12-19,Oldboy,2003,https://boxd.it/5lLhjd,4.5,Yes,,2023-12-18
2023-12-21,The Seventh Seal,1957,https://boxd.it/5momaN,2.5,,,2023-12-20
2023-12-22,Silenced,2011,https://boxd.it/5mRg1X,3,,,2023-12-21
2023-12-24,South Park (Not Suitable for Children),2023,https://boxd.it/5nMzrf,,,,2023-12-23
